Num. Id;Nombre;Precio;Disponibilidad;Autor;BGG;Temática;Si Buscas...;Edad;Núm. jugadores;Tiempo de juego;Medidas;Complejidad;Editorial;Dependencia del idioma;Mecánica;Idioma;ranking
1912;T.I.M.E. Stories: Lumen Fidei;24.99;Disponible;Ulric Maes;213099;Detectivesca, Medieval;;de 14 a 18 años;2, 3, 4;90 min.;205 x 205 x 40 mm.;;Asmodée;Alta;;Español;7,48006
1913;T.I.M.E. Stories: Expedición Endurance;24.99;Disponible;;193527;Detectivesca;;de 14 a 18 años;2, 3, 4;90 min.;205 x 205 x 40 mm.;;Asmodée;Alta;;Español;7,41572
1914;T.I.M.E. Stories: El caso Marcy;0;No está disponible;Nicolas Normandon;180585;Detectivesca;;de 14 a 18 años;2, 3, 4;90 min.;205 x 205 x 35 mm;Difícil;Asmodée;Alta;;Español;7,56899
1915;Dead of Winter: Colonias en Guerra;31.99;Disponible;;;Postapocalíptico, Zombies;;de 14 a 18 años, más de 18 años;2, 3, 4, 5;60 - 120 minutos;;;Asmodée;;Negociación;Español;
1916;Telón de Acero;12;Disponible;;;Historia;Para 2, Experiencia;de 10 a 14 años;2;;;;Ludonova;;Gestión de cartas;;
1917;Cities of Splendor;29.99;Disponible;;220653;;;de 10 a 14 años, de 14 a 18 años;2, 3, 4;30;;;;;;;7,40433
1918;Juego de Tronos LCG: Dragones del Este;22.76;Disponible;;;;;de 14 a 18 años;2, 3, 4;120;200 x 200 x 40 mm;;Fantasy Flight;;;;
1919;Last Bastion;44.99;Disponible;Antoine Bauza;285984;Espada y Brujería;Cooperativo;de 14 a 18 años, más de 18 años;1, 2, 3, 4;45;;;Asmodée;;;Español;7,66469
1920;Black Stories: Crímenes Reales;11.65;Disponible;;57052;;;de 10 a 14 años, de 14 a 18 años;;;;;Gen X Games;;;Español;5,72336
1921;Black Stories 2;11.65;Disponible;;20750;;;de 14 a 18 años;;15 min ;;;Gen X Games;;;Español;6,16204
1922;Black Stories 3;11.65;Disponible;;;;;de 14 a 18 años;2, 3, 4, 5, 6, 7, 8;15 min;;;Gen X Games;;;Español;
1923;Black stories: El juego de tablero;14.22;No está disponible;;;;;de 10 a 14 años, de 14 a 18 años;;'''60-120''''''';;;Gen X Games;;;Español;
1924;Black Stories Edición Misterio;3.32;No está disponible;;;;;de 10 a 14 años, de 14 a 18 años;;10 minutos;;;Gen X Games;;;Español;
1925;Black stories;11.65;No está disponible;;;;Familiares;;2, 3, 4, 5, 6, 7, 8;;;;Gen X Games;;;Español;
1926;Mixmo;17.95;Disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6;'''15''''''';;;Asmodée;;;Español;
1927;Paris: La Citè de la Lumière;19.8;Disponible;José Antonio Abascal;276498;Historia, Urbano;Para 2;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2;30 min;200 x 200 x 50 mm;;Devir;Nula (Sólo instrucciones);Mayorías, Puzzle;;7,53533
1928;Mariposas;36;Disponible;Elizabeth Hargrave;297978;Animales, Naturaleza;Familiares;de 14 a 18 años, más de 18 años;2, 3, 4, 5;45 - 75 min.;295 x 295 x 70 mm;Medio;Devir;Media;Colección de sets;Español;7,15418
1929;Set & Match;21.99;Disponible;Philippe Latarse;270847;Deportes;Familiares, Para 2;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;20 min.;370 x 270 x 35 mm;Medio;Asmodée;Nula (Sólo instrucciones);Habilidad;Español;7,59758
1930;ECOS: Primer Continente;53.95;Disponible;John D. Clair;279254;Naturaleza;Familiares, Eurogame;de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;45 - 75 min.;295 x 295 x 70 mm;Medio;Gen X Games;Nula (Sólo instrucciones);Gestión de cartas, Tienta la suerte;Español;7,1764
1931;Timeline Blister: España Eco;12.99;Disponible;;;Historia;Familiares, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6, 7, 8;10 min.;;Fácil;Asmodée;Nula (Sólo instrucciones);Preguntas y respuestas;Español;
1932;Forgotten Waters;60;Disponible;Isaac Vega;302723;Piratas;Familiares, Cooperativo, Experiencia;de 14 a 18 años, más de 18 años;3, 4, 5, 6, 7;120 - 240 min.;300 x 300 x 75 mm;Medio;Plaid Hat Games;Alta;Exploración y Aventura;Español;8,20296
1933;Iwari;40.5;Disponible;Michael Schacht;270109;Historia;Familiares, Eurogame;de 14 a 18 años, más de 18 años;2, 3, 4, 5;45 min.;300 x 300 x 60 mm;Medio;TCG;Nula (Sólo instrucciones);Mayorías;Español;7,60322
1934;Roll & Raid;19.8;Disponible;Jesús Fuentes;311465;Vikingos;Viaje, Eurogame;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5, 6;30 - 60 min;150 x 200 x 40 mm;Medio;Perro Loko Games;Nula (Sólo instrucciones);Roll&Write;Español;7,80362
